"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000055971",24,35,80,22,68,106,0,2,1,1,0
"ENSRNOG00000068157",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000032137",0,0,0,0,0,0,0,1,0,2,0
"ENSRNOG00000050364",0,0,1,1,0,0,0,0,0,1,0
"ENSRNOG00000060473",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068108",2,2,4,1,3,4,1,0,2,3,1
"ENSRNOG00000055608",204,207,415,111,447,480,342,356,815,875,825
"ENSRNOG00000064687",0,0,0,0,1,0,0,1,4,2,6
"ENSRNOG00000048436",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013641",1503,1660,2877,783,3160,4140,608,541,1576,10255,11399
"ENSRNOG00000020347",6003,5984,11445,2909,11414,14374,3232,3163,7522,7148,7182
"ENSRNOG00000065259",18,17,23,2,26,31,46,54,105,90,89
"ENSRNOG00000035588",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000053464",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000016837",2,3,6,2,3,7,4,5,11,7,6
"ENSRNOG00000069139",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068222",1714,1740,5402,1391,3733,4742,0,1,1,5,2
"ENSRNOG00000025953",1029,970,1803,467,2008,2511,33,30,79,29,12
"ENSRNOG00000066571",0,0,0,0,0,1,0,0,0,0,0
"ENSRNOG00000068350",4,4,15,6,7,10,0,0,0,0,0
"ENSRNOG00000061525",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000046704",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000034083",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000057516",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000053512",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000016608",33,33,50,16,67,59,371,433,601,736,834
"ENSRNOG00000027112",2705,2646,5689,1569,5530,6565,0,2,1,7,7
"ENSRNOG00000069192",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000012730",111,135,162,39,231,214,575,582,1429,1578,1519
"ENSRNOG00000068539",0,0,0,0,0,0,6,7,21,8,6
"ENSRNOG00000052937",0,0,0,0,0,0,0,0,0,1,1
"ENSRNOG00000018117",1522,1463,2534,736,2550,3209,3101,3180,6742,4563,4571
"ENSRNOG00000049017",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000051561",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067136",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063952",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068720",2,0,1,0,0,0,18,19,19,7,7
"ENSRNOG00000016362",189,178,598,206,512,617,52,49,133,26,31
"ENSRNOG00000056231",0,0,0,0,0,0,0,0,0,0,1
"ENSRNOG00000063054",0,0,0,0,0,0,0,0,0,0,3
"ENSRNOG00000013671",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000017307",62,52,45,9,102,225,414,414,1439,1789,1955
"ENSRNOG00000065133",8,9,9,3,22,31,3,1,7,2,0
"ENSRNOG00000066105",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064098",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035580",0,0,1,0,0,0,0,0,0,0,0
"ENSRNOG00000056252",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067915",3,0,3,0,0,5,2,1,2,3,3
"ENSRNOG00000015649",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000054785",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000020942",22,28,24,3,43,38,573,567,1263,1278,1291
"ENSRNOG00000069629",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000065481",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000032600",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067951",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067817",0,0,1,0,1,1,1,1,2,0,5
"ENSRNOG00000017749",11,15,5,3,23,13,2,5,6,31,44
"ENSRNOG00000061288",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000017079",1407,1282,2708,643,2304,2871,1014,1026,2379,823,732
"ENSRNOG00000017795",1469,1445,2566,747,2944,3340,1058,993,2172,1752,1856
"ENSRNOG00000061338",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000065787",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068787",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015657",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064243",59,67,163,26,114,148,0,0,1,0,2
"ENSRNOG00000052607",3,5,13,1,14,20,10,3,14,19,22
"ENSRNOG00000052788",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063641",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000046320",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000042133",3,6,9,3,13,13,2,0,1,2,2
"ENSRNOG00000031648",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064592",0,0,0,0,0,0,1,0,0,0,0
"ENSRNOG00000069350",22,50,77,20,84,86,45,28,75,14,8
"ENSRNOG00000054005",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069982",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000052319",33,41,105,20,105,128,42,31,93,63,59
"ENSRNOG00000035639",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000027542",2737,2842,5742,1416,6393,6526,187,165,381,150,84
"ENSRNOG00000067371",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000065457",9,4,8,2,16,15,4,5,23,2,1
"ENSRNOG00000009748",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000037333",1208,1228,2582,642,2499,2632,1,0,0,0,0
"ENSRNOG00000063106",2,4,24,8,20,32,0,0,1,0,0
"ENSRNOG00000061755",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064493",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000021478",86,76,191,35,179,185,201,205,428,532,469
"ENSRNOG00000017330",20,44,50,17,52,80,3,4,7,8,7
"ENSRNOG00000062409",0,0,0,0,0,0,0,1,3,1,0
"ENSRNOG00000065302",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000018090",2144,2116,4811,1385,4699,5655,4343,4329,9112,6019,6163
"ENSRNOG00000069157",58,56,3,0,105,120,32,31,60,0,41
"ENSRNOG00000068228",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069767",0,2,2,0,2,5,25,22,27,131,106
"ENSRNOG00000070519",3,7,18,2,10,13,23,22,69,79,100
"ENSRNOG00000067269",173,144,300,48,318,342,0,1,0,1,0
"ENSRNOG00000057952",2,1,2,0,9,4,3,10,8,9,5
"ENSRNOG00000059329",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015230",237,250,532,157,564,650,207,235,358,581,581
"ENSRNOG00000017069",1030,1000,1899,496,2164,2210,1520,1606,3305,3063,3053
"ENSRNOG00000021013",8,20,28,3,30,40,96,92,300,171,134
"ENSRNOG00000066830",7,11,7,1,11,16,0,0,0,1,0
"ENSRNOG00000033009",3,4,6,4,10,15,0,0,0,0,0
"ENSRNOG00000065333",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067419",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000061678",1,2,1,3,2,5,7,6,5,7,17
"ENSRNOG00000059948",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000018677",2167,2209,4095,1145,4038,4929,3603,3633,8052,9362,8957
"ENSRNOG00000057111",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069344",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070554",0,1,0,0,1,1,58,56,254,217,184
"ENSRNOG00000054517",2,0,2,0,3,2,5,5,6,4,10
"ENSRNOG00000063145",39,30,9,3,50,79,0,0,0,0,1
"ENSRNOG00000069038",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056439",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069280",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066733",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064096",0,0,0,0,0,0,2,2,12,4,3
"ENSRNOG00000019207",82,90,164,49,189,198,95,71,237,208,212
"ENSRNOG00000018394",2,2,0,1,2,4,14,22,34,64,68
"ENSRNOG00000015760",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070234",73,56,87,17,115,155,62,82,170,205,244
"ENSRNOG00000053284",0,1,0,0,0,3,0,0,0,0,0
"ENSRNOG00000068834",1,1,1,0,2,0,0,0,1,3,1
"ENSRNOG00000030326",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063681",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000065437",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063629",0,0,1,0,0,1,0,0,0,0,0
"ENSRNOG00000049574",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000016714",14,22,49,8,46,64,76,91,284,307,322
"ENSRNOG00000052956",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070270",0,0,0,0,0,0,0,1,0,1,1
"ENSRNOG00000068102",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035648",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067645",0,0,0,0,0,0,0,0,3,0,0
"ENSRNOG00000062789",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015764",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067256",1008,948,3525,901,1949,2425,0,0,0,12,6
"ENSRNOG00000015734",1175,1175,2642,574,2474,3516,977,948,3087,2767,2534
"ENSRNOG00000067158",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056404",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063252",1,1,0,0,1,0,0,0,0,0,0
"ENSRNOG00000066619",1,3,6,1,6,6,0,0,0,0,0
"ENSRNOG00000052832",0,1,0,0,0,1,0,0,0,1,0
"ENSRNOG00000056469",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068800",50,62,108,26,104,182,468,432,1169,946,1268
"ENSRNOG00000066170",0,0,0,0,0,0,0,0,2,0,0
"ENSRNOG00000066949",0,0,0,0,0,0,5,2,5,3,1
"ENSRNOG00000062681",1,6,18,3,12,17,6,8,11,13,20
"ENSRNOG00000067889",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066931",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066273",0,0,0,0,0,0,0,0,0,0,0
